business_name,review,response,rating,avg_rating,num_of_reviews
Royal Group,Always done right from wood stove to screens!,"Good Evening, Rebecca! Thanks SO much for the kind review. Quality workmanship has always been a top priority for us. Thank you again for your business and local support!\n\n- Rex Accavallo, CEO",5,4.9,148
Royal Group,A great company to work with.  Their sales and tech staff are very knowledgeable and easy to work with.  They will come up with a solution for any size company with any size budget.  Can't recommend them more highly!,"Good Afternoon, Peter - Really appreciate the review and kind words! It always means a lot when our clients take time out of their day to do this - thank you very much!! We look forward to working with you more in the future, have an awesome day",5,4.9,148
Royal Group,"Great place to do business with staff was great,thank u!","Hi Chad!\n\nThank you so much for the 5-Star review. We really appreciate you keeping business local!\n\nHave a great rest of the week!\n\n- Rex Accavallo, CEO",5,4.9,148
Royal Group,"Awesome Customer service, quick response, and willing to help whether you are a customer or not. A+ we need more businesses like this.","Mark, thank you SO much! Really appreciate the kind words! Please reach out if you have any other questions or If I can assist with anything. Enjoy your Sunday!\n\nRex Accavallo",5,4.9,148
Royal Group,"If you need a top quality job, by a group of professionals,  this is the only place to go! A plus service.","Good Afternoon, Jeff\n\nThanks so much! We work very hard to have an extremely high level of quality. Really appreciate such a kind review and thank you very much for your business. Look forward to connecting more in the future, have a great night!",5,4.9,148
Royal Group,These guys are the best.  They showed up right on time and did a fantastic job.  Thanks!,"Tim, thank you! We appreciate your business!",5,4.9,148
Royal Group,"Great customer service, friendly and professional staff. I just had a new security system installed at my office - everything went well - from the initial consult, a detailed quote, installation and then a follow up to make sure things were running smoothly.","Kasia, thank you very much! It was a real pleasure working with you, and we're glad you're happy with your new system!",5,4.9,148
Royal Group,"Two royal group employees saved me! I ran out of gas on the side of the road and one of them stayed with my car and the other drive me to the nearest gas station and helped me get a gas can, fill it and took me back to my car, and made sure it started before they headed off!! Thank you Bob and Rustin!! Choose royal group, their employees care about more than what they are paid to do.","Lily - Thank you SO much for your Google review!! We really appreciate it! Iam so happy we were able to help you out and get you back on the road safely.\n\nAgain, really appreciate the review and we were more than happy to help.\n\nHave an awesome rest of the week :-)",5,4.9,148
Royal Group,None,"Thank you for the 5 Star review, Vicki! Have a great rest of the week ☺️",5,4.9,148
Royal Group,None,Abba! Thanks so much for the 5 star review 👍🏼😊 have a great day and enjoy the weather out there\n\n- Rex,5,4.9,148
